Year,FarmID,Date,Week,Male_SWD,Female_SWD,Total_SWD,Drosophilids,Similar
2015,A,15/12/2015,51,2,1,3,11,0
2015,A,15/12/2015,51,0,0,0,6,0
2015,A,15/12/2015,51,0,0,0,29,0
2015,A,15/12/2015,51,0,0,0,12,1
2016,A,07/01/2016,2,0,0,0,215,0
2016,A,07/01/2016,2,0,0,0,222,0
2016,A,07/01/2016,2,1,2,3,20,0
2016,A,07/01/2016,2,6,2,8,154,0
2016,A,07/01/2016,2,3,0,3,77,2
2016,A,07/01/2016,2,4,0,4,96,1
2016,A,07/01/2016,2,2,0,2,113,4
2016,A,07/01/2016,2,2,2,4,16,0
2016,A,07/01/2016,2,4,2,6,31,0
2016,A,07/01/2016,2,1,0,1,37,0
2016,A,07/01/2016,2,0,0,0,57,0
2016,A,07/01/2016,2,0,0,0,14,0
2016,A,13/01/2016,3,0,0,0,26,0
2016,A,13/01/2016,3,0,0,0,21,0
2016,A,13/01/2016,3,1,0,1,1,0
2016,A,13/01/2016,3,0,1,1,7,0
2016,A,13/01/2016,3,0,0,0,1,0
2016,A,13/01/2016,3,0,0,0,0,0
2016,A,13/01/2016,3,0,0,0,2,0
2016,A,13/01/2016,3,0,0,0,4,0
2016,A,13/01/2016,3,1,0,1,3,2
2016,A,13/01/2016,3,0,0,0,3,0
2016,A,13/01/2016,3,0,0,0,7,0
2016,A,13/01/2016,3,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,21/01/2016,4,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,28/01/2016,5,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,04/02/2016,6,0,0,0,15,1
2016,A,04/02/2016,6,1,0,1,4,0
2016,A,04/02/2016,6,1,0,1,6,0
2016,A,04/02/2016,6,0,0,0,4,0
2016,A,04/02/2016,6,0,0,0,7,0
2016,A,04/02/2016,6,0,0,0,0,0
2016,A,11/02/2016,7,0,0,0,23,0
2016,A,11/02/2016,7,0,0,0,31,0
2016,A,11/02/2016,7,0,0,0,1,0
2016,A,11/02/2016,7,0,0,0,6,0
2016,A,11/02/2016,7,0,0,0,3,0
2016,A,11/02/2016,7,0,0,0,12,0
2016,A,11/02/2016,7,0,0,0,3,0
2016,A,11/02/2016,7,0,0,0,11,0
2016,A,11/02/2016,7,0,0,0,5,0
2016,A,11/02/2016,7,0,0,0,0,0
2016,A,11/02/2016,7,0,0,0,6,0
2016,A,11/02/2016,7,0,0,0,0,0
2016,A,18/02/2016,8,0,0,0,5,0
2016,A,18/02/2016,8,0,0,0,2,0
2016,A,18/02/2016,8,0,0,0,0,0
